Iterations,VI avg moves,QL avg moves
6165,150,110.8
6170,144.2,111.1
6175,104.2,128.3
6180,121.1,128.4
6185,141.7,146
6190,84.2,110.6
6195,138.4,137.2
6200,134.8,110.9
6205,121.6,29.3
6210,185.8,119.7
6215,164.8,119.7
6220,76.7,119.7
6225,218.9,110.9
6230,149.3,38.4
6235,133.6,21
6240,129.9,119.7
6245,206.7,119.6
6250,173.2,29.5
6255,133.2,21
6260,248,20.7
6265,199.4,20.7
6270,127.8,128.2
6275,152.2,11.7
6280,167.4,21.1
6285,113.4,12
6290,141.7,20.7
6295,138.1,119.3
6300,273.1,20.8
6305,95.2,119.4
6310,150,128.4
6315,183.9,119.5
6320,191.9,29.4
6325,150.1,20.7
6330,124.6,11.9
6335,244.8,20.8
6340,142.3,29.7
6345,139.9,110.8
6350,143.2,20.7
6355,195.1,119.5
6360,188.8,11.6
6365,163.6,128.6
6370,212.3,20.6
6375,146.8,20.6
6380,174.4,29.5
6385,111.9,29.9
6390,224,110.7
6395,184.7,119.3
6400,126.2,128
6405,121.9,110.8
6410,158,20.8
6415,89.2,20.8
6420,118.1,20.7
6425,151.6,20.8
6430,150.7,119.5
6435,153.8,110.9
6440,221.2,136.9
6445,195.7,20.6
6450,230.3,110.8
6455,202.8,20.4
6460,85.7,21
6465,119.7,20.8
6470,161.6,29.3
6475,128.6,29.2
6480,130.3,12.1
6485,165.5,20.6
6490,123.5,20.6
6495,154.4,29.6
6500,121.6,29.6
6505,129,20.9
6510,197.7,110.7
6515,211.9,20.4
6520,143.7,38.2
6525,135.1,11.7
6530,148.7,20.8
6535,131,38.2
6540,188.5,20.8
6545,171.4,29.4
6550,75.9,128.2
6555,146.7,20.6
6560,120,11.7
6565,122.8,20.5
6570,146.4,20.5
6575,192.5,110.7
6580,151.7,20.7
6585,143.2,29.7
6590,132.6,119.6
6595,108.5,38.5
6600,177,11.9
6605,191.2,110.4
6610,167.2,38.2
6615,169.2,20.6
6620,156.5,128.4
6625,110.6,29.3
6630,115,11.7
6635,201.8,38.4
6640,109.1,128.1
6645,168.9,20.4
6650,197,29.5
6655,143.9,119.3
6660,114.3,119.3
6665,155.9,11.7
6670,156.6,12.1
6675,108.3,119.5
6680,160.5,110.7
6685,131.8,11.5
6690,151.5,20.5
6695,165.2,11.9
6700,98.2,119.4
6705,129.1,20.5
6710,137.1,29.4
6715,132.1,20.7
6720,197.8,11.8
6725,151.1,20.6
6730,152.2,119.3
6735,179.3,20.9
6740,107.4,11.8
6745,115.3,29.3
6750,181.3,119.5
6755,177.9,128.2
6760,153.2,20.8
6765,93,20.5
6770,207,20.8
6775,169.1,119.6
6780,176.6,11.8
6785,120.4,29.5
6790,118,20.8
6795,143.6,20.9
6800,133.9,20.8
6805,78.5,29.4
6810,117,128
6815,188.6,20.6
6820,185.8,119.4
6825,149.5,11.6
6830,177.5,119.4
6835,121.4,29.3
